DraftID,Draft_Year,Draft_Round,Draft_Number
10000,1985,1,23
10001,1999,2,39
10002,2000,2,32
10003,2016,2,46
10004,2009,2,52
10005,2007,1,26
10006,2014,1,4
10007,2007,2,49
10008,Undrafted,Undrafted,Undrafted
10009,2018,1,23
10010,Undrafted,Undrafted,Undrafted
10011,1994,1,17
10012,Undrafted,Undrafted,Undrafted
10013,Undrafted,Undrafted,Undrafted
10014,2016,2,58
10015,1993,1,19
10016,2007,1,11
10017,Undrafted,Undrafted,Undrafted
10018,1992,1,10
10019,Undrafted,Undrafted,Undrafted
10020,2006,1,3
10021,2019,2,42
10022,1997,1,8
10023,1993,2,42
10024,Undrafted,Undrafted,Undrafted
10025,2014,1,15
10026,Undrafted,Undrafted,Undrafted
10027,Undrafted,Undrafted,Undrafted
10028,1998,1,25
10029,2007,1,3
10030,2004,1,15
10031,2007,1,14
10032,2010,1,8
10033,Undrafted,Undrafted,Undrafted
10034,1995,1,16
10035,Undrafted,Undrafted,Undrafted
10036,2007,1,29
10037,2011,1,12
10038,2017,2,54
10039,Undrafted,Undrafted,Undrafted
10040,1999,1,12
10041,2019,2,39
10042,2013,2,32
10043,2005,2,60
10044,Undrafted,Undrafted,Undrafted
10045,Undrafted,Undrafted,Undrafted
10046,Undrafted,Undrafted,Undrafted
10047,2013,1,5
10048,Undrafted,Undrafted,Undrafted
10049,Undrafted,Undrafted,Undrafted
10050,Undrafted,Undrafted,Undrafted
10051,2006,2,45
10052,Undrafted,Undrafted,Undrafted
10053,2008,1,20
10054,Undrafted,Undrafted,Undrafted
10055,2018,2,50
10056,1993,1,11
10057,Undrafted,Undrafted,Undrafted
10058,2013,2,31
10059,1996,1,1
10060,Undrafted,Undrafted,Undrafted
10061,Undrafted,Undrafted,Undrafted
10062,1992,1,2
10063,2001,2,50
10064,1981,1,21
10065,2001,2,56
10066,Undrafted,Undrafted,Undrafted
10067,1997,2,47
10068,1996,2,49
10069,2002,1,9
10070,Undrafted,Undrafted,Undrafted
10071,Undrafted,Undrafted,Undrafted
10072,2005,2,56
10073,2004,2,30
10074,1998,2,46
10075,2005,2,49
10076,Undrafted,Undrafted,Undrafted
10077,Undrafted,Undrafted,Undrafted
10078,Undrafted,Undrafted,Undrafted
10079,2012,1,9
10080,2004,2,35
10081,2004,1,9
10082,Undrafted,Undrafted,Undrafted
10083,1999,1,8
10084,Undrafted,Undrafted,Undrafted
10085,2013,1,26
10086,2006,1,1
10087,2003,2,58
10088,1999,1,24
10089,Undrafted,Undrafted,Undrafted
10090,2005,1,1
10091,2005,1,10
10092,1995,2,34
10093,Undrafted,Undrafted,Undrafted
10094,2011,2,46
10095,2015,2,44
10096,1988,2,28
10097,2012,1,19
10098,Undrafted,Undrafted,Undrafted
10099,2014,1,1
10100,2004,1,11
10101,Undrafted,Undrafted,Undrafted
10102,2010,2,38
10103,1993,1,3
10104,2018,1,24
10105,Undrafted,Undrafted,Undrafted
10106,1998,2,30
10107,1998,1,4
10108,2016,1,23
10109,1991,1,15
10110,2013,1,1
10111,1986,3,66
10112,2015,2,34
10113,Undrafted,Undrafted,Undrafted
10114,2012,1,1
10115,1994,2,52
10116,Undrafted,Undrafted,Undrafted
10117,1997,2,39
10118,1988,3,53
10119,1994,2,39
10120,Undrafted,Undrafted,Undrafted
10121,1997,1,21
10122,1992,1,15
10123,2008,1,14
10124,Undrafted,Undrafted,Undrafted
10125,Undrafted,Undrafted,Undrafted
10126,1983,1,8
10127,Undrafted,Undrafted,Undrafted
10128,1996,1,6
10129,2005,1,15
10130,Undrafted,Undrafted,Undrafted
10131,Undrafted,Undrafted,Undrafted
10132,2004,2,36
10133,1997,1,4
10134,1990,2,45
10135,Undrafted,Undrafted,Undrafted
10136,1994,2,29
10137,1995,1,2
10138,2001,2,47
10139,Undrafted,Undrafted,Undrafted
10140,2017,1,25
10141,2013,1,29
10142,Undrafted,Undrafted,Undrafted
10143,1987,1,2
10144,2010,2,34
10145,2012,1,27
10146,Undrafted,Undrafted,Undrafted
10147,2007,1,27
10148,Undrafted,Undrafted,Undrafted
10149,Undrafted,Undrafted,Undrafted
10150,1986,1,24
10151,Undrafted,Undrafted,Undrafted
10152,1997,1,12
10153,2009,1,15
10154,2012,1,10
10155,2010,1,19
10156,Undrafted,Undrafted,Undrafted
10157,Undrafted,Undrafted,Undrafted
10158,Undrafted,Undrafted,Undrafted
10159,1989,1,18
10160,Undrafted,Undrafted,Undrafted
10161,2017,1,14
10162,1999,1,3
10163,2016,2,51
10164,1996,2,43
10165,2004,1,3
10166,Undrafted,Undrafted,Undrafted
10167,Undrafted,Undrafted,Undrafted
10168,2013,1,7
10169,Undrafted,Undrafted,Undrafted
10170,2016,1,1
10171,Undrafted,Undrafted,Undrafted
10172,Undrafted,Undrafted,Undrafted
10173,2004,1,28
10174,1985,1,3
10175,2012,2,33
10176,2004,2,45
10177,1994,1,22
10178,1985,1,16
10179,Undrafted,Undrafted,Undrafted
10180,1991,1,3
10181,Undrafted,Undrafted,Undrafted
10182,1990,2,40
10183,2011,1,7
10184,1991,1,10
10185,Undrafted,Undrafted,Undrafted
10186,2009,1,1
10187,1989,1,21
10188,Undrafted,Undrafted,Undrafted
10189,1987,2,32
10190,1995,1,17
10191,Undrafted,Undrafted,Undrafted
10192,Undrafted,Undrafted,Undrafted
10193,1993,1,7
10194,1997,1,23
10195,2006,2,37
10196,1991,2,45
10197,2015,1,22
10198,2001,2,41
10199,2014,1,27
10200,2011,2,31
10201,Undrafted,Undrafted,Undrafted
10202,1998,1,11
10203,Undrafted,Undrafted,Undrafted
10204,2003,1,21
10205,2002,1,15
10206,2005,2,47
10207,1987,2,45
10208,Undrafted,Undrafted,Undrafted
10209,Undrafted,Undrafted,Undrafted
10210,2012,1,3
10211,2007,1,8
10212,2015,2,56
10213,Undrafted,Undrafted,Undrafted
10214,2001,1,23
10215,2005,2,33
10216,2019,1,21
10217,Undrafted,Undrafted,Undrafted
10218,Undrafted,Undrafted,Undrafted
10219,2003,2,56
10220,2016,1,2
10221,2009,1,10
10222,2011,1,8
10223,Undrafted,Undrafted,Undrafted
10224,2006,1,6
10225,2008,1,13
10226,Undrafted,Undrafted,Undrafted
10227,Undrafted,Undrafted,Undrafted
10228,2001,1,20
10229,1995,1,15
10230,1992,2,32
10231,Undrafted,Undrafted,Undrafted
10232,Undrafted,Undrafted,Undrafted
10233,1997,1,16
10234,Undrafted,Undrafted,Undrafted
10235,2000,2,44
10236,2003,1,24
10237,1996,1,27
10238,1994,1,8
10239,1990,2,32
10240,Undrafted,Undrafted,Undrafted
10241,2001,2,34
10242,1988,1,24
10243,1998,1,22
10244,Undrafted,Undrafted,Undrafted
10245,2016,1,25
10246,Undrafted,Undrafted,Undrafted
10247,2008,1,10
10248,1994,1,27
10249,Undrafted,Undrafted,Undrafted
10250,2018,2,42
10251,2014,1,20
10252,2019,2,34
10253,1998,2,35
10254,1995,1,6
10255,1992,1,13
10256,Undrafted,Undrafted,Undrafted
10257,Undrafted,Undrafted,Undrafted
10258,1998,1,16
10259,Undrafted,Undrafted,Undrafted
10260,1993,2,45
10261,1997,2,34
10262,1981,1,3
10263,2016,1,6
10264,2009,1,24
10265,1983,1,4
10266,Undrafted,Undrafted,Undrafted
10267,Undrafted,Undrafted,Undrafted
10268,2013,1,10
10269,2005,2,34
10270,2014,1,28
10271,1999,1,17
10272,1993,1,6
10273,Undrafted,Undrafted,Undrafted
10274,2017,1,26
10275,1999,2,35
10276,2019,1,10
10277,2014,2,49
10278,2019,1,11
10279,2015,1,14
10280,Undrafted,Undrafted,Undrafted
10281,2016,1,20
10282,1990,2,30
10283,2007,2,31
10284,Undrafted,Undrafted,Undrafted
10285,Undrafted,Undrafted,Undrafted
10286,Undrafted,Undrafted,Undrafted
10287,2002,2,34
10288,2003,1,25
10289,1994,1,11
10290,2003,1,3
10291,2002,1,10
10292,2013,2,33
10293,2019,2,33
10294,Undrafted,Undrafted,Undrafted
10295,2002,1,22
10296,1998,2,37
10297,Undrafted,Undrafted,Undrafted
10298,2015,2,31
10299,Undrafted,Undrafted,Undrafted
10300,1990,2,48
10301,1997,2,44
10302,Undrafted,Undrafted,Undrafted
10303,2006,1,15
10304,Undrafted,Undrafted,Undrafted
10305,2018,1,22
10306,2011,2,38
10307,2005,1,8
10308,1984,1,5
10309,Undrafted,Undrafted,Undrafted
10310,Undrafted,Undrafted,Undrafted
10311,2011,2,44
10312,1979,8,165
10313,1997,2,31
10314,1985,1,9
10315,Undrafted,Undrafted,Undrafted
10316,1988,2,32
10317,1988,1,3
10318,Undrafted,Undrafted,Undrafted
10319,2005,1,7
10320,1994,1,26
10321,2009,2,44
10322,Undrafted,Undrafted,Undrafted
10323,1997,1,3
10324,2016,2,33
10325,2006,2,51
10326,1995,1,12
10327,2018,2,49
10328,2016,2,37
10329,Undrafted,Undrafted,Undrafted
10330,1997,1,18
10331,Undrafted,Undrafted,Undrafted
10332,2003,1,4
10333,Undrafted,Undrafted,Undrafted
10334,1995,2,56
10335,Undrafted,Undrafted,Undrafted
10336,Undrafted,Undrafted,Undrafted
10337,Undrafted,Undrafted,Undrafted
10338,Undrafted,Undrafted,Undrafted
10339,1997,2,50
10340,2008,2,40
10341,1987,4,75
10342,2004,2,38
10343,Undrafted,Undrafted,Undrafted
10344,1991,1,16
10345,1999,2,33
10346,Undrafted,Undrafted,Undrafted
10347,2002,1,27
10348,Undrafted,Undrafted,Undrafted
10349,Undrafted,Undrafted,Undrafted
10350,2003,1,6
10351,1992,2,45
10352,Undrafted,Undrafted,Undrafted
10353,2015,1,29
10354,2000,1,7
10355,1993,1,22
10356,1988,1,4
10357,1985,1,7
10358,2002,2,47
10359,2005,1,4
10360,2000,2,55
10361,Undrafted,Undrafted,Undrafted
10362,2007,2,41
10363,1996,2,51
10364,Undrafted,Undrafted,Undrafted
10365,2011,1,18
10366,Undrafted,Undrafted,Undrafted
10367,2005,2,42
10368,1993,1,1
10369,1993,2,47
10370,2002,1,8
10371,Undrafted,Undrafted,Undrafted
10372,2009,1,30
10373,1992,1,3
10374,Undrafted,Undrafted,Undrafted
10375,Undrafted,Undrafted,Undrafted
10376,1986,1,4
10377,Undrafted,Undrafted,Undrafted
10378,1989,2,43
10379,1992,1,9
10380,2014,2,34
10381,Undrafted,Undrafted,Undrafted
10382,1989,2,36
10383,1994,1,16
10384,2014,1,25
10385,1983,1,14
10386,Undrafted,Undrafted,Undrafted
10387,2019,1,7
10388,2019,2,36
10389,2013,1,4
10390,2010,1,11
10391,2018,1,8
10392,Undrafted,Undrafted,Undrafted
10393,1998,1,28
10394,2007,1,7
10395,1999,1,13
10396,1993,1,25
10397,1995,1,13
10398,2002,2,57
10399,1995,1,29
10400,1998,2,49
10401,Undrafted,Undrafted,Undrafted
10402,2014,2,60
10403,2011,1,29
10404,Undrafted,Undrafted,Undrafted
10405,2000,1,13
10406,Undrafted,Undrafted,Undrafted
10407,2008,1,22
10408,Undrafted,Undrafted,Undrafted
10409,2010,1,21
10410,1983,3,48
10411,2006,2,36
10412,Undrafted,Undrafted,Undrafted
10413,1995,2,57
10414,2002,1,18
10415,1998,2,41
10416,2015,1,2
10417,2008,1,9
10418,Undrafted,Undrafted,Undrafted
10419,2017,1,17
10420,Undrafted,Undrafted,Undrafted
10421,Undrafted,Undrafted,Undrafted
10422,2007,2,59
10423,2008,1,29
10424,2009,2,35
10425,Undrafted,Undrafted,Undrafted
10426,2007,1,21
10427,2003,1,20
10428,Undrafted,Undrafted,Undrafted
10429,2002,1,6
10430,2015,2,48
10431,1991,1,13
10432,1983,1,9
10433,2000,1,24
10434,2016,1,30
10435,2012,1,6
10436,2014,2,31
10437,Undrafted,Undrafted,Undrafted
10438,2010,1,24
10439,Undrafted,Undrafted,Undrafted
10440,2006,2,59
10441,Undrafted,Undrafted,Undrafted
10442,Undrafted,Undrafted,Undrafted
10443,1995,1,7
10444,2001,2,36
10445,2017,2,44
10446,2002,1,28
10447,2002,2,33
10448,2000,2,31
10449,1988,1,14
10450,2000,2,53
10451,1981,1,13
10452,1989,1,16
10453,2005,2,32
10454,2019,2,38
10455,2006,2,42
10456,2016,2,56
10457,Undrafted,Undrafted,Undrafted
10458,2010,1,29
10459,Undrafted,Undrafted,Undrafted
10460,Undrafted,Undrafted,Undrafted
10461,2008,1,6
10462,1989,1,2
10463,1997,1,10
10464,2005,1,17
10465,2009,2,46
10466,1988,1,1
10467,2009,2,33
10468,2014,1,5
10469,Undrafted,Undrafted,Undrafted
10470,Undrafted,Undrafted,Undrafted
10471,2010,2,37
10472,2014,1,12
10473,2019,1,23
10474,2019,1,5
10475,2012,2,55
10476,2000,1,3
10477,2012,2,46
10478,2011,2,41
10479,2002,2,49
10480,Undrafted,Undrafted,Undrafted
10481,2003,1,2
10482,2008,2,52
10483,Undrafted,Undrafted,Undrafted
10484,2008,1,27
10485,2009,1,21
10486,Undrafted,Undrafted,Undrafted
10487,1994,2,38
10488,2015,2,38
10489,Undrafted,Undrafted,Undrafted
10490,Undrafted,Undrafted,Undrafted
10491,Undrafted,Undrafted,Undrafted
10492,2002,2,36
10493,Undrafted,Undrafted,Undrafted
10494,2004,1,29
10495,2005,1,30
10496,2006,2,39
10497,Undrafted,Undrafted,Undrafted
10498,1987,1,1
10499,Undrafted,Undrafted,Undrafted
10500,Undrafted,Undrafted,Undrafted
10501,1995,1,25
10502,Undrafted,Undrafted,Undrafted
10503,Undrafted,Undrafted,Undrafted
10504,2003,1,18
10505,1986,2,44
10506,Undrafted,Undrafted,Undrafted
10507,2011,2,42
10508,2017,2,32
10509,2017,1,5
10510,2019,1,4
10511,2018,2,46
10512,2008,2,35
10513,2011,2,53
10514,2016,1,21
10515,2009,2,37
10516,1997,2,51
10517,2009,1,9
10518,1998,2,38
10519,2010,1,5
10520,Undrafted,Undrafted,Undrafted
10521,2009,1,27
10522,Undrafted,Undrafted,Undrafted
10523,2001,1,8
10524,2000,1,23
10525,Undrafted,Undrafted,Undrafted
10526,1988,2,38
10527,Undrafted,Undrafted,Undrafted
10528,Undrafted,Undrafted,Undrafted
10529,2018,1,1
10530,Undrafted,Undrafted,Undrafted
10531,1990,1,19
10532,2016,1,29
10533,1986,1,15
10534,Undrafted,Undrafted,Undrafted
10535,2015,1,20
10536,2004,1,24
10537,2007,2,53
10538,2016,2,45
10539,Undrafted,Undrafted,Undrafted
10540,Undrafted,Undrafted,Undrafted
10541,Undrafted,Undrafted,Undrafted
10542,1986,2,27
10543,2013,1,17
10544,1990,1,4
10545,2017,1,9
10546,2016,1,14
10547,Undrafted,Undrafted,Undrafted
10548,2000,1,6
10549,1997,1,13
10550,1996,1,24
10551,Undrafted,Undrafted,Undrafted
10552,1983,1,11
10553,Undrafted,Undrafted,Undrafted
10554,1990,2,47
10555,2005,1,3
10556,1994,2,33
10557,2009,2,40
10558,2007,2,42
10559,2010,2,58
10560,1990,1,1
10561,1998,2,52
10562,2010,1,3
10563,Undrafted,Undrafted,Undrafted
10564,1987,1,9
10565,2008,1,1
10566,Undrafted,Undrafted,Undrafted
10567,2017,1,29
10568,2011,1,2
10569,2003,2,40
10570,Undrafted,Undrafted,Undrafted
10571,Undrafted,Undrafted,Undrafted
10572,2000,1,17
10573,Undrafted,Undrafted,Undrafted
10574,1985,1,8
10575,1999,1,23
10576,2015,1,13
10577,Undrafted,Undrafted,Undrafted
10578,2010,2,43
10579,1995,Undrafted,Undrafted
10580,Undrafted,Undrafted,Undrafted
10581,2004,1,5
10582,Undrafted,Undrafted,Undrafted
10583,2018,2,53
10584,2018,2,34
10585,2014,2,56
10586,2019,2,59
10587,Undrafted,Undrafted,Undrafted
10588,Undrafted,Undrafted,Undrafted
10589,2010,2,32
10590,2016,2,31
10591,2016,2,40
10592,Undrafted,Undrafted,Undrafted
10593,1994,1,21
10594,2005,2,54
10595,1991,1,4
10596,2017,2,45
10597,1989,2,40
10598,1999,1,20
10599,2012,1,4
10600,Undrafted,Undrafted,Undrafted
10601,1998,1,9
10602,2016,1,11
10603,2007,2,47
10604,2010,1,25
10605,1982,1,3
10606,1992,1,19
10607,1995,2,58
10608,1987,3,52
10609,Undrafted,Undrafted,Undrafted
10610,Undrafted,Undrafted,Undrafted
10611,2011,1,20
10612,Undrafted,Undrafted,Undrafted
10613,2000,1,22
10614,1995,2,42
10615,1995,2,39
10616,2017,1,13
10617,Undrafted,Undrafted,Undrafted
10618,2004,2,34
10619,1996,1,21
10620,2018,1,17
10621,Undrafted,Undrafted,Undrafted
10622,2008,1,28
10623,Undrafted,Undrafted,Undrafted
10624,1994,2,37
10625,1994,1,4
10626,2004,1,19
10627,Undrafted,Undrafted,Undrafted
10628,2012,2,42
10629,1992,1,17
10630,2014,1,11
10631,1991,2,40
10632,1989,2,38
10633,2016,1,4
10634,1995,2,31
10635,2012,2,35
10636,1996,2,57
10637,Undrafted,Undrafted,Undrafted
10638,2002,1,4
10639,Undrafted,Undrafted,Undrafted
10640,1990,1,18
10641,Undrafted,Undrafted,Undrafted
10642,Undrafted,Undrafted,Undrafted
10643,Undrafted,Undrafted,Undrafted
10644,Undrafted,Undrafted,Undrafted
10645,2017,2,40
10646,Undrafted,Undrafted,Undrafted
10647,1990,1,24
10648,Undrafted,Undrafted,Undrafted
10649,2004,1,1
10650,2014,2,45
10651,2003,1,5
10652,2018,1,29
10653,2011,2,55
10654,Undrafted,Undrafted,Undrafted
10655,Undrafted,Undrafted,Undrafted
10656,2009,1,14
10657,1979,3,58
10658,2001,2,39
10659,2010,1,13
10660,1997,1,22
10661,1995,1,9
10662,1985,1,10
10663,1993,2,35
10664,Undrafted,Undrafted,Undrafted
10665,Undrafted,Undrafted,Undrafted
10666,2001,1,7
10667,2000,2,37
10668,1981,2,29
10669,1994,1,10
10670,Undrafted,Undrafted,Undrafted
10671,2001,1,4
10672,2017,2,52
10673,2000,2,38
10674,Undrafted,Undrafted,Undrafted
10675,2014,2,43
10676,1996,1,23
10677,2010,1,6
10678,1990,1,27
10679,1992,Undrafted,Undrafted
10680,2014,1,10
10681,Undrafted,Undrafted,Undrafted
10682,2018,2,31
10683,Undrafted,Undrafted,Undrafted
10684,1991,2,37
10685,2010,1,22
10686,1992,2,38
10687,1992,1,25
10688,1999,1,1
10689,Undrafted,Undrafted,Undrafted
10690,Undrafted,Undrafted,Undrafted
10691,2004,1,2
10692,2015,1,7
10693,2011,1,3
10694,1983,1,13
10695,2010,1,18
10696,Undrafted,Undrafted,Undrafted
10697,2008,1,7
10698,1988,1,17
10699,2009,1,20
10700,Undrafted,Undrafted,Undrafted
10701,1994,1,18
10702,1994,1,9
10703,Undrafted,Undrafted,Undrafted
10704,1991,1,21
10705,2019,2,41
10706,1994,1,15
10707,1993,2,33
10708,1995,2,43
10709,1997,2,46
10710,1995,1,14
10711,2000,1,28
10712,1996,1,10
10713,2013,2,46
10714,Undrafted,Undrafted,Undrafted
10715,Undrafted,Undrafted,Undrafted
10716,Undrafted,Undrafted,Undrafted
10717,2013,2,49
10718,2000,2,52
10719,2005,2,36
10720,1993,1,23
10721,Undrafted,Undrafted,Undrafted
10722,2000,1,12
10723,Undrafted,Undrafted,Undrafted
10724,1999,2,34
10725,2012,1,20
10726,2010,1,2
10727,Undrafted,Undrafted,Undrafted
10728,2012,1,22
10729,Undrafted,Undrafted,Undrafted
10730,1998,1,24
10731,1990,1,6
10732,2012,1,30
10733,2002,2,41
10734,1999,2,41
10735,2005,1,23
10736,1981,3,57
10737,2017,2,31
10738,2015,1,9
10739,2017,2,34
10740,2017,1,8
10741,2002,1,25
